77943,face | egyptian hieroglyph d002
77944,hair | egyptian hieroglyph d003
77945,eye | egyptian hieroglyph d004
77946,eye touched up with paint | egyptian hieroglyph d005
77947,eye with painted upper lid | egyptian hieroglyph d006
77948,eye with painted lower lid | egyptian hieroglyph d007
77949,eye enclosed in sandy tract | egyptian hieroglyph d008
77950,eye with painted lower lid enclosed in sandy tract | egyptian hieroglyph d008a
77951,eye with flowing tears | egyptian hieroglyph d009
77952,eye of horus | egyptian hieroglyph d010
77953,left part of the eye of horus | egyptian hieroglyph d011
77954,pupil | egyptian hieroglyph d012
77955,eyebrow | egyptian hieroglyph d013
77956,right part of eye of horus | egyptian hieroglyph d014
77957,diagonal marking of eye of horus | egyptian hieroglyph d015
77958,vertical marking of eye of horus | egyptian hieroglyph d016
77959,diagonal and vertical markings of eye of horus | egyptian hieroglyph d017
77960,ear | egyptian hieroglyph d018
77961,nose, eye and cheek | egyptian hieroglyph d019
77962,nose, eye and cheek (cursive) | egyptian hieroglyph d020
77963,mouth | egyptian hieroglyph d021
77964,mouth with two strokes | egyptian hieroglyph d022
77965,mouth with three strokes | egyptian hieroglyph d023
77966,upper lip with teeth | egyptian hieroglyph d024
77967,lips | egyptian hieroglyph d025
77968,liquid issuing from lips | egyptian hieroglyph d026
77969,small breast | egyptian hieroglyph d027
77970,large breast | egyptian hieroglyph d027a
77971,two arms upraised | egyptian hieroglyph d028
77972,combination of hieroglyphs d28 and r12 | egyptian hieroglyph d029
77973,two arms upraised with tail | egyptian hieroglyph d030
77974,arms embracing club | egyptian hieroglyph d031
77975,two arms uppraised and club | egyptian hieroglyph d031a
77976,arms embracing | egyptian hieroglyph d032
77977,arms rowing | egyptian hieroglyph d033
77978,arms with shield and battle axe | egyptian hieroglyph d034
77979,arms with shield and mace | egyptian hieroglyph d034a
77980,arms in gesture of negation | egyptian hieroglyph d035
77981,forearm (palm upwards) | egyptian hieroglyph d036
77982,forearm with bread cone | egyptian hieroglyph d037
77983,forearm with rounded loaf | egyptian hieroglyph d038
77984,forearm with bowl | egyptian hieroglyph d039
